coucode,casecode,dGDP,ecorisk_tot,ecorisk_tot_direct
1,21,0.0286272099671509,0.0592233891806729,0.046414311566182
1,22,0.00160020944620206,0.00344706905208877,0.00200477336647738
1,24,0.00497470732760628,0.000348551159739637,0.000148782540351925
1,33,0.025192900552174,0.0287683963624899,0.0207899768278271
1,20,0.103717606980879,0.0824428706797434,0.0473930411457615
1,0,0.164112634274012,0.174230276434734,0.126922418962673
2,21,0.0292779349234547,0.0608107838671082,0.0475835447186574
2,22,0.00124833062376207,0.00296469290887302,0.0022037500328908
2,24,0.00327435569555585,0.00166948701529864,0.000529086616015615
2,33,0.0247290501443243,0.0376277990287558,0.0322904257595201
2,20,0.058299530731016,0.0703419474461393,0.0452295775103044
2,0,0.116829202118113,0.173414710266175,0.13564795766111
3,21,0.0285523885891494,0.0245153091081502,0.0185650090336717
3,22,0.000999077359964096,0.00123673872333856,0.000920087113694047
3,24,0.000157707199706783,6.39624241158829e-05,2.23477712782211e-05
3,33,0.0237538118914212,0.0281547776306422,0.0217255650747176
3,20,0.038054271930866,0.0369537205581126,0.0172922587136326
3,0,0.0915172569711075,0.0909245084443595,0.0638181235711398
4,21,0.0319563403933161,0.0453647917195192,0.0345015447872436
4,22,0.00166708923202737,0.00444860029686059,0.00270921558650003
4,24,0.00145175161019436,0.00128833894178174,0.000160193214448953
4,33,0.0232181330039733,0.0191276247903452,0.0140418686967574
4,20,0.0505293069600244,0.0536782867632849,0.0138723113849843
4,0,0.108822621199536,0.123907642511792,0.0765741628024409
5,21,0.0316369703010257,0.0471767936220498,0.0341976407455159
5,22,0.00276856939687706,0.00475789398600168,0.00354295849291742
5,24,0.00416253055096156,0.000604655763215836,0.000126458131655733
5,33,0.0258507801603116,0.0448086007072515,0.0373331874344099
5,20,0.117414432398356,0.118515825116944,0.0402564095261867
5,0,0.181833282807532,0.215863769195463,0.132855878664157
6,21,0.0244584027728046,0.0416633259405178,0.0342717078319977
6,22,0.00119425116148109,0.00168827332415669,0.00118918730699996
6,24,0.00414930592512723,0.00251381097543298,0.00146497109202217
6,33,0.0246641410319147,0.0401102559635246,0.0328999203084251
6,20,0.0762656120433163,0.0795583224527677,0.0421873399432847
6,0,0.130731712934644,0.1655339886564,0.121761658910616
7,21,0.0243583101658133,0.0386267288115995,0.0292439688520645
7,22,0.00118584798220625,0.00229014296413656,0.00113062123596326
7,24,0.00249406151084597,0.00233744451648791,0.000563965709575789
7,33,0.0228979880166235,0.028098386811643,0.0236246145610833
