coucode,casecode,indcode,ecorisk,dCi
1,21,1,0.0661099521835451,-0
1,21,2,0.00400042033669867,-0
1,21,3,0.115125943345392,-0
1,21,4,0.0104732706958567,-0
1,21,5,0.00804006083149966,-0
1,21,6,0.0307197595117197,-0
1,21,7,0.0136039275274817,-0
1,21,8,0.0127992495949537,-0
1,21,9,0.0158686788207617,-0
1,21,10,0.01175220807884,NaN
1,21,11,0.00731168034148444,-0
1,21,12,0.0133525268433069,-0
1,21,13,0.0105566212853879,-0
1,21,14,0.00756405202451693,-0
1,21,15,0.0109991018943476,-0
1,21,16,0.0301515308845712,-0
1,21,17,0.00650373113293223,-0
1,21,18,0.0103792957773804,-0
1,21,19,0.0188065324116106,-0
1,21,20,0.00916540344017347,-0
1,21,21,0.645541994625324,0.780845432651268
1,21,22,0.0182789795714056,-0
1,21,23,0.0158416286978935,-0
1,21,24,0.0236693891484814,-0
1,21,25,0.0158968137658494,-0
1,21,26,0.0150563360439893,-0
1,21,27,0.0196893283649483,-0
1,21,28,0.0204418244261383,-0
1,21,29,0.025548800354472,-0
1,21,30,0.00274995269492584,-0
1,21,31,0.00109602840478218,-0
1,21,32,0.00039437922107699,-0
1,21,33,0.0106123587811731,-0
1,21,34,0.00179875462536794,-0
1,22,1,0.00045970916331961,-0
1,22,2,0.00121514663863009,-0
1,22,3,0.000374020694038135,-0
1,22,4,0.00119411731483365,-0
1,22,5,0.00112365769640721,-0
1,22,6,0.00179351372080028,-0
1,22,7,0.00855254945002093,-0
1,22,8,0.00103917341371718,-0
1,22,9,0.00322516426798147,-0
1,22,10,0.00122024275530175,NaN
1,22,11,0.00150343990138202,-0
1,22,12,0.00222472928200479,-0
1,22,13,0.00172097830185103,-0
1,22,14,0.00466556681029584,-0
1,22,15,0.00113924771642593,-0
1,22,16,0.00189008474179519,-0
1,22,17,0.000865650024367781,-0
1,22,18,0.0175646192802457,-0
1,22,19,0.00217688661602577,-0
1,22,20,0.00148568511470981,-0
1,22,21,0.000556574630537932,-0
1,22,22,0.0761608348918784,0.13893201635562
1,22,23,0.00298903989556809,-0
1,22,24,0.0030124034085327,-0
1,22,25,0.00408011748052217,-0
1,22,26,0.00300050541040531,-0
1,22,27,0.00174632482049131,-0
1,22,28,0.00115451282374879,-0
1,22,29,0.00265367242825876,-0
1,22,30,0.000840984510362297,-0
1,22,31,0.000170088384387923,-0
1,22,32,3.61422237100673e-05,-0
1,22,33,0.00179735303895678,-0
1,22,34,0.000248651986356929,-0
1,24,1,7.57143106921987e-05,-0
1,24,2,0.000397796288669983,-0
1,24,3,7.71589978706411e-05,-0
1,24,4,0.000137777265404981,-0
1,24,5,0.000151472372272643,-0
1,24,6,0.000434096824254437,-0
1,24,7,0.00339108909261565,-0
1,24,8,0.000160743886223114,-0
1,24,9,0.000261212740723549,-0
1,24,10,0.000178212810828082,NaN
1,24,11,0.000185601255019985,-0
1,24,12,0.000287243231193779,-0
1,24,13,0.000298203524569107,-0
1,24,14,0.0017455843232409,-0
1,24,15,0.000162260885967935,-0
1,24,16,0.000297536245027707,-0
1,24,17,0.000113671025138928,-0
1,24,18,0.000253009535278403,-0
1,24,19,0.000397861626546092,-0
1,24,20,0.000100543276919773,-0
1,24,21,0.000161132052736046,-0
1,24,22,0.000467497249036941,-0
1,24,23,0.000713508785256223,-0
1,24,24,0.0285825360820735,0.719426158078663
1,24,25,0.00160258206187758,-0
1,24,26,0.000337357724902509,-0
1,24,27,0.000238130012579774,-0
1,24,28,0.000176824774861584,-0
1,24,29,0.000730704157383077,-0
1,24,30,6.80639128449734e-05,-0
1,24,31,2.73735924811724e-05,-0
1,24,32,5.96986114920206e-06,-0
1,24,33,0.00026845896586869,-0
1,24,34,3.98175716651572e-05,-0
1,33,1,0.0102979228362586,-0
1,33,2,0.00292227994407879,-0
1,33,3,0.0106847866319632,-0
1,33,4,0.0108244825321873,-0
1,33,5,0.00992641002165928,-0
1,33,6,0.0220261810101561,-0
1,33,7,0.00983894582990252,-0
1,33,8,0.0228768222871835,-0
1,33,9,0.0147261729498461,-0
1,33,10,0.00912192157435332,NaN
1,33,11,0.00949785506592216,-0
1,33,12,0.0317034699248577,-0
1,33,13,0.0179043480479296,-0
1,33,14,0.00747277025371085,-0
1,33,15,0.0566556537401249,-0
1,33,16,0.0108202243069011,-0
1,33,17,0.00328698035091601,-0
1,33,18,0.0104138375097588,-0
1,33,19,0.0162465233873937,-0
1,33,20,0.00826516215986306,-0
1,33,21,0.00425348012868765,-0
1,33,22,0.00842702908508419,-0
1,33,23,0.00888524278747271,-0
1,33,24,0.0310686577768912,-0
1,33,25,0.0123230617077855,-0
1,33,26,0.0229510200837163,-0
1,33,27,0.00813871601099314,-0
1,33,28,0.00639058401039139,-0
1,33,29,0.0230134288904983,-0
1,33,30,0.00416490017132476,-0
1,33,31,0.00179400871973834,-0
